Petition Title,Published Date,Tagged Issues,Signatures
Find Missing US ARMY Soldier Vanessa Guillen,"Created by F.H. on May 23, 2020",NA,"182,588"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"Created by Y.K. on June 11, 2019",NA,"177,348"
Global Magnitsky Act for Pro-Beijing officials of the Hong Kong Executive Council,"Created by P.S. on September 10, 2019",NA,"175,047"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"Created by K.O. on August 05, 2019",NA,"171,184"
Stop Donald Trump from signing the federal flavor ban of e-cig products.,"Created by J.P. on September 11, 2019",NA,"167,528"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","Created by A.J. on June 19, 2018",NA,"166,473"
"RAISE THE DEGREE - Remove bail for Derek Chauvin, murderer of George Floyd","Created by P.A. on May 30, 2020",NA,"155,021"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","Created by J.P. on March 03, 2019",NA,"152,894"
"Hong Kong say NO to Carrie Lam's so-called ""concessions"", Continue Call the US to Pass HK Human Rights and Democracy Act","Created by R.L. on September 04, 2019",NA,"150,928"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"Created by W.S. on August 10, 2019",NA,"145,861"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"Created by C.K. on February 16, 2018",NA,"145,599"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","Created by R.L. on January 04, 2019",NA,"144,664"
ARREST THE KILLERS OF BREONNA TAYLOR,"Created by D.S. on July 26, 2020",NA,"144,113"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Created by F.C. on January 20, 2017",NA,"144,081"
Tell Congress the American People need The Emergency Money for the People Act to pass.,"Created by M.J. on April 15, 2020",NA,"139,168"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","Created by R.H. on June 30, 2018",NA,"137,466"
Revoke the visas of Chinese college students who disrupted the otherwise peaceful pro-Hong Kong protests,"Created by K.C. on August 20, 2019",NA,"136,217"
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,"Created by D.L. on May 15, 2019",NA,"135,182"
Please send US Armed force to Hong Kong to rescue citizens from the massacre carried out by the Hong Kong Police Force.,"Created by A.H. on September 11, 2019",NA,"134,834"
Protect Free Speech in the Digital Public Square,"Created by W.C. on August 28, 2018",NA,"133,860"
The conservatorship and civil liberties of Britney Spears.,"Created by M.J. on July 09, 2020",NA,"133,829"
Please expose the truths and punish brutality to youngsters in San Uk Ling Holding Centre in Hong Kong.,"Created by A.H. on September 16, 2019",NA,"131,464"
Hong Kong Universal Suffrage Plan,"Created by C.C. on January 02, 2020",NA,"131,313"
The United States should formally recognize Taiwan as the independently governed nation it has been for over 60 years.,"Created by K.W. on October 07, 2019",NA,"129,828"
Reform the police by instituting heavy racial sensitivity training and being held accountable for racial injustices.,"Created by D.F. on May 30, 2020",NA,"129,134"
Expulsion For Maxine Waters - Remove Her From Congress,"Created by A.M. on June 25, 2018",NA,"127,782"
Save the people of Iraq from their corrupt government of the last 16+ years.,"Created by R.D. on October 02, 2019",NA,"126,571"
Stop HK Police sexually assaulting protestors. Please pass the Hong Kong Human Rights and Democracy Act.,"Created by A.H. on August 29, 2019",NA,"126,193"
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,"Created by S.H. on October 12, 2018",NA,"125,400"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,"Created by G.P. on October 27, 2017",NA,"124,841"
"Make Yu HOI KWAN and her immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by T.D. on October 15, 2019",NA,"124,478"
Justice for Jamarion Robinson.,"Created by W.W. on August 08, 2020",NA,"123,792"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,"Created by C.W. on March 15, 2018",NA,"123,333"
"Sanction Hong Kong government for its State Terrorism  conducted in Prince Edward train station, Hong Kong on 8/31","Created by H.K. on August 31, 2019",NA,"123,288"
Please pass the bill “Hong Kong Human Rights and Democracy Act”,"Created by J.J. on July 08, 2019",NA,"121,015"
"Make Kong Wing Cheung and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by T.S. on October 10, 2019",NA,"120,927"
Please nominate the Hong Kong freedom fighters for the Nobel Peace Prize 2020,"Created by A.H. on August 17, 2019",NA,"120,880"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,"Created by G.S. on November 23, 2017",NA,"120,097"
Bring our loved ones back from “Al Udeid” Air Base,"Created by A.R. on November 18, 2019",NA,"120,059"
Save the United States Postal Service,"Created by M.L. on July 15, 2020",NA,"118,983"
